Humidity Level,Temperature,Time of Day,Luring Success,Time Spent Hunting,Prey Size,Ambush,Food Availability,Predator Presence,Is Competition,Hunting Success
0.56,32.32,Morning,True,1.48,7.77,False,High,True,False,1
0.43,34.49,Afternoon,True,4.77,9.83,False,Medium,False,False,0
0.42,20.13,Evening,True,0.79,3.55,False,Low,True,True,0
0.77,34.87,Morning,True,1.95,2.53,True,High,True,False,0
0.39,20.66,Morning,False,1.95,6.13,False,Low,False,False,0
0.85,31.06,Afternoon,True,4.62,6.0,True,High,False,True,1
0.58,31.38,Morning,False,1.83,8.21,True,Low,False,True,1
0.41,27.14,Morning,True,1.06,2.64,False,Low,False,False,1
0.65,27.53,Afternoon,True,4.08,1.27,True,Low,False,False,1
0.72,27.21,Afternoon,True,1.89,3.03,False,Low,,True,1
0.5,30.38,Morning,False,3.68,9.82,True,High,,True,1
0.68,27.78,Afternoon,True,1.19,9.261716373822809,False,Medium,False,,1
0.64,32.2,Afternoon,True,1.59,7.52,False,High,True,True,1
0.76,28.3,Evening,False,1.0,6.67,True,Medium,True,True,0
0.8,26.89,Evening,False,2.06,2.48,True,Medium,True,True,0
0.67,25.39,Morning,False,1.53,1.93,True,Medium,False,False,1
0.55,22.56,Afternoon,True,4.88,5.86,True,Medium,True,False,1
0.64,33.94,Afternoon,False,0.63,12.997122793603717,False,Low,False,True,1
0.58,20.9,Evening,False,3.8,4.81,True,Medium,True,False,1
0.65,24.57,Afternoon,True,2.63,2.65,True,Medium,False,True,1
0.8,21.84,Evening,True,3.36,6.27,True,High,False,True,1
0.39,28.97,Afternoon,False,3.85,7.92,True,High,False,False,1
0.5,20.71,Evening,True,4.77,9.74,True,Medium,False,True,1
0.54,31.91,Evening,True,2.31,3.74,False,High,False,False,1
0.43,26.47,Evening,False,0.62,7.96,True,Medium,True,True,0
0.88,27.56,Evening,True,4.3,2.31,True,High,True,True,0
0.88,32.29,Evening,False,3.82,1.0,False,Medium,False,False,0
0.63,28.76,Evening,True,3.06,7.23,True,High,True,True,1
0.43,33.41,Afternoon,False,3.1,3.85,True,Medium,False,,0
0.75,21.61,Afternoon,True,0.88,4.99,True,Low,False,False,0
0.56,24.9,Afternoon,False,4.84,3.76,False,High,True,False,1
0.45,27.03,Morning,False,1.18,5.74,True,High,True,False,0
0.86,23.63,Afternoon,False,1.32,3.65,True,High,False,True,0
0.76,33.4,Afternoon,True,2.69,9.93,True,Medium,True,False,1
0.52,29.75,Afternoon,False,1.2,8.96,True,Medium,True,False,1
0.47,28.08,Evening,True,3.13,4.58,True,Medium,True,False,0
0.58,21.26,Evening,False,2.656951917726977,2.48,False,Low,True,,1
0.73,21.06,Evening,True,3.57,4.62,False,,True,,0
0.54,27.13,Afternoon,False,4.7,2.61,True,Low,False,True,1
0.86,29.4,Afternoon,False,1.89,8.56,True,Medium,True,False,0
0.78,31.3,Afternoon,True,1.53,14.0692570089906,False,High,False,False,1
0.46,33.28,Evening,False,2.03,6.21,True,Low,False,False,1
0.83,21.53,Morning,True,0.46,7.05,False,Low,True,True,0
0.79,24.19,Afternoon,False,4.45869495458978,5.87,True,High,True,False,1
0.68,32.82,Morning,False,4.72,7.17,False,,,,1
0.89,22.99,Evening,False,3.18,6.28,False,Medium,True,True,0
0.59,24.95,Evening,False,2.83,2.26,False,High,False,False,1
0.42,31.92,Morning,False,1.26,9.44,True,Low,True,True,0
0.63,20.43,Morning,True,4.54,2.13,True,Medium,False,True,1
0.62,30.55,Evening,False,3.0,2.07,False,Low,True,False,1
0.34,23.8,Evening,False,3.28,9.09,True,Medium,False,True,0
0.71,27.13,Afternoon,True,1.41,6.35,True,High,True,False,1
0.83,33.61,Afternoon,True,1.85,6.28,False,High,True,True,0
0.59,30.45,Afternoon,True,3.75,6.74,True,Low,False,True,1
0.59,23.63,Afternoon,True,0.69,2.37,False,High,False,False,1
0.36,31.66,Evening,False,4.81,8.01,True,Medium,False,False,1
0.71,33.81,Morning,False,0.81,8.49,True,High,False,True,0
0.42,27.54,Morning,False,3.01,6.82,True,High,False,,1
0.42,27.75,Afternoon,False,3.46,9.19,False,Medium,True,False,0
0.38,24.2,Morning,True,3.74,3.49,False,High,True,False,0
0.34,23.63,Afternoon,True,2.27,3.82,True,Medium,False,True,0
0.46,25.57,Morning,False,0.61,1.79,False,Medium,False,True,0
0.8,25.54,Morning,True,4.62,8.44,True,High,,False,1
0.54,33.14,Evening,True,0.65,3.91,False,High,False,,1
0.31,31.43,Morning,False,1.58,3.36,True,Low,True,,0
0.66,29.2,Evening,False,2.38,2.22,False,,False,False,1
0.82,29.78,Afternoon,True,3.47,5.53,True,Medium,False,False,1
0.49,24.09,Morning,False,1.81,5.57,False,Low,True,False,0
0.59,23.49,Evening,True,1.19,6.13,True,Low,True,True,1
0.73,33.68,Evening,True,3.57,1.29,True,Low,False,True,0
0.32,20.23,Afternoon,True,0.96,3.47,True,Medium,True,False,0
0.89,34.0,Morning,True,4.27,4.64,False,High,False,True,0
0.49,26.45,Morning,True,1.5327457154958515,6.9057735373434,True,High,True,False,1
0.68,32.31,Morning,False,2.88,7.3,True,Low,True,False,1
0.32,30.52,Morning,True,3.9,4.94,True,Low,True,False,0
0.67,22.86,Afternoon,False,4.24,3.5,False,Medium,False,True,1
0.73,26.57,Evening,True,4.5,3.64,True,Medium,False,False,0
0.7,26.68,Afternoon,True,0.71,1.41,False,Medium,True,True,1
0.65,30.49,Afternoon,False,1.86,8.99,False,High,False,False,1
0.78,24.95,Afternoon,True,2.02,3.46,True,Medium,True,False,0
0.44,28.98,Afternoon,False,1.41,5.16,True,Medium,True,True,0
0.34,25.63,Evening,False,3.54,7.5,True,High,,True,1
0.64,20.71,Morning,True,1.94,6.52,False,Low,True,False,1
0.79,32.19,Evening,True,1.57,4.78,False,High,False,False,1
0.81,25.37,Morning,True,2.63,4.746660680480608,True,Low,True,False,1
0.5,28.36,Afternoon,False,3.1,11.69654456076477,True,High,True,True,1
0.85,34.79,Afternoon,False,1.33,3.26,True,High,True,True,0
0.88,30.32,Morning,False,4.56,9.26,False,Medium,,False,0
0.6,22.76,Evening,False,4.28,2.74,True,Medium,False,True,1
0.65,23.35,Morning,False,1.27,4.26,True,Low,False,True,0
0.69,23.62,Morning,False,2.22,6.36,False,High,False,True,1
0.85,31.13,Evening,True,1.86,17.594031129295217,True,High,False,True,0
0.75,29.73,Evening,False,0.67,9.7,True,Medium,True,True,0
0.57,26.35,Morning,True,4.17,5.67,False,Low,True,False,1
0.58,26.18,Afternoon,False,3.8,9.21,True,High,False,True,1
0.68,33.28,Afternoon,True,5.3118573567972165,8.26,False,High,False,False,0
0.52,26.01,Afternoon,False,3.91,1.32,True,Medium,False,True,1
0.83,20.18,Morning,True,1.73,3.75,True,Low,False,True,0
0.5,29.83,Afternoon,False,5.209085842349511,6.59,False,Low,True,True,1
0.68,22.76,Evening,True,3.46,9.99,True,Medium,True,,1
0.67,29.7,Afternoon,False,4.23,4.55,True,Medium,False,False,1
0.87,31.24,Morning,False,3.74,4.66,True,Medium,True,False,0
0.42,31.65,Afternoon,True,3.06,4.61,False,Medium,False,False,0
0.76,22.51,Evening,False,4.58,8.14,False,Low,True,True,0
0.61,31.16,Morning,False,1.57,9.68,True,Low,True,False,1
0.62,33.68,Afternoon,False,0.44,6.09,True,Medium,True,True,1
0.52,29.24,Morning,True,3.38,1.85,False,Medium,False,True,1
0.6,30.15,Morning,False,0.76,7.14,True,Low,True,True,1
0.35,26.95,Evening,True,2.21,4.19,False,High,False,True,0
0.31,21.64,Morning,False,4.06,1.16,False,High,False,True,0
0.83,27.07,Morning,True,3.83,9.84,False,Medium,False,False,1
0.74,24.45,Morning,True,2.87,7.04,True,High,False,False,1
0.87,33.65,Morning,False,1.82,6.82,False,High,True,,0
0.32,26.88,Morning,False,3.4,6.41,False,Low,True,True,0
0.7,21.98,Evening,False,0.96,6.3,True,Medium,True,False,1
0.81,26.02,Afternoon,True,3.14,5.39,True,Medium,False,True,1
0.54,28.86,Morning,False,1.34,3.27,True,Low,False,True,1
0.75,23.19,Morning,True,4.6,5.46,False,Low,True,True,0
0.65,25.93,Evening,False,2.92,6.0,False,Medium,True,True,1
0.52,32.99,Evening,False,0.44,9.96,True,High,False,False,1
0.3,34.92,Evening,False,3.63,4.94,True,High,False,,1
0.6,33.18,Evening,True,2.33,3.68,False,,False,False,1
0.68,33.96,Morning,False,1.4,1.65,True,High,True,,1
0.42,24.7,Evening,False,1.97,8.92,True,Low,False,False,0
0.7,29.21,Afternoon,False,0.88,7.13,False,Low,True,False,1
0.68,26.99,Afternoon,True,1.82,1.59,True,Low,,True,0
0.44,31.12,Evening,False,1.69,1.05,True,Medium,False,,0
